category	explanation	question	opt0	opt1	opt2	opt3	gold
CONTAIN	"Every answer is a five-letter word. You'll be given a clue for the word. Besides giving you a direct hint to the answer, the clue will also contain the answer in consecutive letters. For example, given """"push over hard,"""" you would say """"shove."""""	Home of Dali, Velasquez and other famOUSPAINters	FAMOUS	SHORT	VISIT	BRAN	0
CONTAIN	"Every answer is a five-letter word. You'll be given a clue for the word. Besides giving you a direct hint to the answer, the clue will also contain the answer in consecutive letters. For example, given """"push over hard,"""" you would say """"shove."""""	Song that worships almighty God	STAKE	WORSHIP	SHORT	RENT	1
CONTAIN	"Every answer is a five-letter word. You'll be given a clue for the word. Besides giving you a direct hint to the answer, the clue will also contain the answer in consecutive letters. For example, given """"push over hard,"""" you would say """"shove."""""	Pleasant annual visitor	LEAD	VISIT	BUILD	BRAN	1
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Barque	InnOVate	OblIGate	PanORama	BarBEque	3
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Corral	EviDEnce	CorPOral	IntERact	PanORama	1
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Evince	PanORama	BarBEque	OblIGate	EviDEnce	3
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Innate	EviDEnce	IntERact	CorPOral	InnOVate	3
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Intact	InnOVate	IntERact	EviDEnce	VanQUish	1
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Oblate	CorPOral	OblIGate	PanORama	EviDEnce	1
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Panama	BarBEque	InnOVate	PanORama	IntERact	2
WORDPLAY	I'm going to give you some 6-letter words. Insert 2 letters in the exact center of each one to complete a common, uncapitalized 8-letter word.	Vanish	PanORama	IntERact	VanQUish	CorPOral	2
WORDPLAY	I'm going to give you clues for two words. The first word has an R somewhere within it. Change the R to two S's, and you'll get a new word that answers the second clue.	ruck / Game on a 64-square board	Glory, glossy	declare, declasse	Cher, chess	fore, Fosse	2
WORDPLAY	I'm going to give you clues for two words. The first word has an R somewhere within it. Change the R to two S's, and you'll get a new word that answers the second clue.	Tiny opening in the skin / Group helping a sheriff	declare, declasse	Cher, chess	Glory, glossy	pore, posse	3
WORDPLAY	I'm going to give you clues for two words. The first word has an R somewhere within it. Change the R to two S's, and you'll get a new word that answers the second clue.	Cry on a golf course / Choreographer Bob	pore, posse	Glory, glossy	fore, Fosse	Cher, chess	2
WORDPLAY	I'm going to give you clues for two words. The first word has an R somewhere within it. Change the R to two S's, and you'll get a new word that answers the second clue.	State as fact / Having fallen in social status (from the French)	declare, declasse	fore, Fosse	Glory, glossy	Cher, chess	0
WORDPLAY	I'm going to give you clues for two words. The first word has an R somewhere within it. Change the R to two S's, and you'll get a new word that answers the second clue.	"The U.S. flag is called """"Old ___"""" / Photo with a shiny surface"	declare, declasse	fore, Fosse	Glory, glossy	pore, posse	2
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	period in the morning and evening when traffic is the busiest	rush hour	trash/ash/rubbish heap	british honduras	hash house	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	former name of belize	rosh hashanah	scottish highlands	smash hit	british honduras	3
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	head wear for a motorcyclist or a race car driver	crash helmet	fish hook	british honduras	scottish highlands	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	yom kippur or hanukkah	jewish holidays	parish house	rush hour	british honduras	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	a place to throw garbage	parish house	trash/ash/rubbish heap	macintosh help	rush hour	1
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	a place to stick a worm	crash helmet	british honduras	fish hook	english horn	2
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	woodwind instrument resembling an oboe	spanish harlem	macintosh help	english horn	hash house	2
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	a cheap restaurant or diner	hash house	smash hit	english horn	wash hands	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	instructions above a sink to restaurant employees	english horn	wash hands	rosh hashanah	macintosh help	1
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	best-selling song by a wide margin	spanish harlem	hash house	smash hit	british honduras	2
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	the jewish new year	rosh hashanah	parish house	fish hook	scottish highlands	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	building next to a church used for social activities	catfish hunter	trash/ash/rubbish heap	parish house	jewish holidays	2
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	1960's-70's pitcher for the a's and the yankees who played on five world series winning teams	catfish hunter	fish hook	trash/ash/rubbish heap	rosh hashanah	0
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	elevated, far-north part of the british isle	spanish harlem	wash hands	english horn	scottish highlands	3
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	part of manhattan with a large latino population	british honduras	jewish holidays	crash helmet	spanish harlem	3
I.E	Every answer is a familiar two-word phrase with the consecutive letters of S-H-H. Specifically, the first word in the answer will end in SH, and the second will start with H.	a place to call if you need tech assistance for an apple computer	rosh hashanah	macintosh help	hash house	crash helmet	1
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	As meteorologists know, every cloud has water droplets.	Variety is the spice of life	A stitch in time saves nine	The proof of the pudding is in the eating	Every cloud has a silver lining	3
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	Variety is the daily publication of show business	The proof of the pudding is in the eating	A picture is worth a thousand words	A fool and his money are soon parted	Variety is the spice of life	3
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	The surgeon put a stitch in the gaping wound	A stitch in time saves nine	A fool and his money are soon parted	Variety is the spice of life	A picture is worth a thousand words	0
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	The proof of most whiskey is 80	The proof of the pudding is in the eating	A picture is worth a thousand words	A fool and his money are soon parted	A stitch in time saves nine	0
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	In this motel a picture is hanging over every bed	Every cloud has a silver lining	A stitch in time saves nine	A picture is worth a thousand words	The proof of the pudding is in the eating	2
WORDPLAY	I'm going to read you some sentences. Three consecutive words somewhere in each sentence are the first three words of a familiar proverb or saying. Tell me what it is. Example: Put out a saucer of milk when the cat's hungry. --> When the cat's away the mice will play.1. As meteorologists know, every cloud has water droplets.2. Variety is the daily publication of show business.3. The surgeon put a stitch in the gaping wound.4. Through the mountains the road to the next town is very twisty.5. On average the proof of most whiskey is 80.6. In this motel a picture is hanging over every bed.7. The joke starts: a priest, a fool, and a lawyer walk into a bar.	The joke starts: a priest, a fool, and a lawyer walk into a bar	Every cloud has a silver lining	The proof of the pudding is in the eating	A fool and his money are soon parted	A picture is worth a thousand words	2
WORDPLAY	For each word, change one letter in it to get a common boy's name.	charges	norman	charles	walter	everett	1
WORDPLAY	For each word, change one letter in it to get a common boy's name.	tennis	javier or xavier	dennis	everett	walter	1
WORDPLAY	For each word, change one letter in it to get a common boy's name.	cargos	howard	everett	carlos	dennis	2
WORDPLAY	For each word, change one letter in it to get a common boy's name.	everest	everett	javier or xavier	walter	howard	0
WORDPLAY	For each word, change one letter in it to get a common boy's name.	wavier	walter	dennis	charles	javier or xavier	3
WORDPLAY	For each word, change one letter in it to get a common boy's name.	coward	walter	carlos	howard	everett	2
WORDPLAY	For each word, change one letter in it to get a common boy's name.	change theœg.	norman	carlos	howard	javier or xavier	0
WORDPLAY	For each word, change one letter in it to get a common boy's name.	english prime minister chamberlin	everett	norman	howard	walter	3
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	mamie	ederle	roosevelt	ali	eisenhower	3
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	arthur	harry	rubinstein	ali	dreyfus	1
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	christopher	harry	reeve	dreyfus	eisenhower	1
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	richard	dreyfus	harry	andrews	ali	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	dana	andrews	rubinstein	ederle	harry	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	georges	seurat	dinkins	andrews	eisenhower	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	gertrude	salk	ederle	dinkins	reeve	1
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	jonas	salk	rubinstein	reeve	harry	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	laila	ali	dinkins	reeve	andrews	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	david	dinkins	eisenhower	salk	ali	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	deborah	harry	andrews	dinkins	seurat	0
OTHER	"You are given the first names of famous people and must figure out their last names. The last two letters of the first name, when reversed, are the first two letters of the last name. For example, given """"Brad,"""" the answer would be """"Davis,"""" as in Brad Davis, the actor."	eleanor	roosevelt	ali	dinkins	eisenhower	0
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	apportion, coral island	snoop, spoon	hardy, hydra	misdial, mislaid	allot, atoll	3
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	distress signal shot into the air, wild, as an animal	allot, atoll	hardy, hydra	snoop, spoon	flare, feral	3
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	rugged, many-headed serpent of myth	misdial, mislaid	delicateness, delicatessen	flare, feral	hardy, hydra	3
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	nosy person / implement for eating soup	allot, atoll	flare, feral	misdial, mislaid	snoop, spoon	3
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	call the wrong telephone number, lost	flare, feral	delicateness, delicatessen	misdial, mislaid	snoop, spoon	2
OTHER	I'm going to give you clues for two words. Reverse the last four letters of the answer to the first clue to get the word that answers the second clue.	fragility, place to order a sandwich to go	allot, atoll	delicateness, delicatessen	misdial, mislaid	hardy, hydra	1
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Jay, Coward	Roger MOORE, ROMEO Montague	Yogi BEAR, REBA McEntire	Janet RENO, NERO Wolfe	Jay LENO, NOEL Coward	3
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Janet, Wolfe	Bob DYLAN, LYNDA Carter	Janet RENO, NERO Wolfe	Jay LENO, NOEL Coward	Benedict ARNOLD, RONALD Reaga	1
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Yogi, McEntire	Benedict ARNOLD, RONALD Reaga	Janet RENO, NERO Wolfe	Jay LENO, NOEL Coward	Yogi BEAR, REBA McEntire	3
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Bob, Carter	Jay LENO, NOEL Coward	Bob DYLAN, LYNDA Carter	Benedict ARNOLD, RONALD Reaga	Lily TOMLIN, MILTON Berle	1
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Roger, Montague	Lily TOMLIN, MILTON Berle	Jay LENO, NOEL Coward	Roger MOORE, ROMEO Montague	Yogi BEAR, REBA McEntire	2
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Lily, Berle	Bob DYLAN, LYNDA Carter	Roger MOORE, ROMEO Montague	Lily TOMLIN, MILTON Berle	Jay LENO, NOEL Coward	2
ANAGRAM	"This week's puzzle is called """"What's in a Name?"""" Every answer consists of the names of two famous people. The last name of the first person is an anagram of the first name of the last person. Given the non-anagram parts of the names, you identify the people. For example, given """"Madeleine"""" and """"Aaron,"""" you would say """"Kahn"""" and """"Hank."""""	Benedict, Reagan	Bob DYLAN, LYNDA Carter	Roger MOORE, ROMEO Montague	Janet RENO, NERO Wolfe	Benedict ARNOLD, RONALD Reaga	3
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	space, entendre, parking	cross	double	first	split	1
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	sheep, eye, Panther	cross	White	black	Easter	2
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	shoe, elbow, pro*	double	split	Christmas	tennis	3
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	saddle, effect, pocket	White	cross	side	double	2
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	second, ends, personality	split	double	black	first	0
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	street, examination, purposes	double	Easter	Christmas	cross	3
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	strike, edition, place	White	first	cross	side	1
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	stocking, Eve, present	Christmas	White	tennis	black	0
I.E	For the following words starting with the letters S, E and P — as in September — find a word that can precede each to complete a familiar two-word phrase.	Sox, elephant, Pages	first	side	White	split	2
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	Please don't squeeze the RICH MAN	Charmin	Toys 'R' Us	in your cup Folgers	Grey Poupon	0
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	You're in good hands with A TALL SET	Allstate	Butterfinger	Sara Lee	Oldsmobile	0
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	The best part of waking up is GOLFERS	Mastercard	Charmin	in your cup Folgers	Oldsmobile	2
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	I don't want to grow up. I'm a U.S. STORY kid	Mastercard	Allstate	Sara Lee	Toys 'R' Us	3
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	This is not your father's IDLE BLOOMS	Allstate	Grey Poupon	in your cup Folgers	Oldsmobile	3
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	Nobody better lay a finger on my BETTER FIG URN	in your cup Folgers	Mastercard	Butterfinger	Allstate	2
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	Pardon me ” Do you have any YOUNGER POP?	Grey Poupon	Allstate	Mastercard	Butterfinger	0
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	Nobody doesn't like A RESALE	Grey Poupon	Sara Lee	in your cup Folgers	Toys 'R' Us	1
ANAGRAM; CONTAIN	I'm going to read you some famous advertising slogans, past and present. Each contains the advertiser's name, but anagrammed. You name the advertiser.	There are some things money can't buy. For everything else, there's DREAM CARTS	Butterfinger	Charmin	Mastercard	Toys 'R' Us	2
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	TREAT MINUS	Let sleeping dogs lie.	Good things come to those who wait.	Great minds think alike.	Two heads are better than one.	2
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	MOOSELIES	Great minds think alike.	Let sleeping dogs lie.	Loose lips sink ships.	Two heads are better than one.	2
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	GET SWEEPING	Loose lips sink ships.	Let sleeping dogs lie.	Good things come to those who wait.	Two heads are better than one.	1
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	EASTER SAND	Let sleeping dogs lie.	Two heads are better than one.	Loose lips sink ships.	Easier said than done.	3
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	GOLD THONGS	Loose lips sink ships.	Easier said than done.	Great minds think alike.	Good things come to those who wait.	3
WORDPLAY	Change one letter in each word of a made-up, two-word phrase to get two new words  that will start a familiar proverb or saying. Determining which letters to  change is up to you.	TAO HEAPS	Two heads are better than one.	Good things come to those who wait.	Let sleeping dogs lie.	Great minds think alike.	0
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	COOK	COlorado, OKlahoma	FLOrida, Georgia	Wisconsin, Illinois	New (M)exico, Texas	0
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	FLOG	FLOrida, Georgia	New (M)exico, Texas	Wisconsin, Illinois	Massachusetts, Connecticut	0
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	CANE	Minnesota, North (D)akota	California, Nevada	Massachusetts, Connecticut	COlorado, OKlahoma	1
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	MADE	Pennsylvania, New (Y)ork (or NEw (J)ersey)	Massachusetts, Connecticut	Maryland, Delaware	COlorado, OKlahoma	2
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	NEWT	FLOrida, Georgia	Massachusetts, Connecticut	New (M)exico, Texas	California, Nevada	2
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	WILL	California, Nevada	Wisconsin, Illinois	Massachusetts, Connecticut	Pennsylvania, New (Y)ork (or NEw (J)ersey)	1
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	MACON	California, Nevada	Massachusetts, Connecticut	Wisconsin, Illinois	Maryland, Delaware	1
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	MINOR	FLOrida, Georgia	Wisconsin, Illinois	Minnesota, North (D)akota	California, Nevada	2
I.E	"Every answer consists of two adjoining U.S. states. Each clue is a  four-letter word formed by one or more letters starting one of the state names  plus one or more letters starting the other state name. For example, given  """"mist,"""" the answer would be """"Mississippi"""" and  """"Tennessee,"""" or """"Missouri"""" and """"Tennessee."""""	PENNE	Maryland, Delaware	Pennsylvania, New (Y)ork (or NEw (J)ersey)	FLOrida, Georgia	Minnesota, North (D)akota	1
I.E	"You are given categories and must name items within those categories that begin with the letters G, A, M, U and T.  For example, given the category """"girls' names,"""" possible answers would be Gloria, Amelia, Martha, Ursula and Theresa."	Presidential first names	gloves, ascot, mirror, underwear, T-shirt	George, Andrew, Martin, Ulysses, Thomas	Gabon, Algeria, Mali, Uganda, Tanzania	guitar, accordion, mandolin, ukulele, tiple	1
I.E	"You are given categories and must name items within those categories that begin with the letters G, A, M, U and T.  For example, given the category """"girls' names,"""" possible answers would be Gloria, Amelia, Martha, Ursula and Theresa."	Countries in Africa	grandfather, aunt, mother, uncle, twin	George, Andrew, Martin, Ulysses, Thomas	Gabon, Algeria, Mali, Uganda, Tanzania	gloves, ascot, mirror, underwear, T-shirt	2
I.E	"You are given categories and must name items within those categories that begin with the letters G, A, M, U and T.  For example, given the category """"girls' names,"""" possible answers would be Gloria, Amelia, Martha, Ursula and Theresa."	Blood relatives	gloves, ascot, mirror, underwear, T-shirt	Gabon, Algeria, Mali, Uganda, Tanzania	grandfather, aunt, mother, uncle, twin	guitar, accordion, mandolin, ukulele, tiple	2
I.E	"You are given categories and must name items within those categories that begin with the letters G, A, M, U and T.  For example, given the category """"girls' names,"""" possible answers would be Gloria, Amelia, Martha, Ursula and Theresa."	Musical instruments	Gabon, Algeria, Mali, Uganda, Tanzania	guitar, accordion, mandolin, ukulele, tiple	George, Andrew, Martin, Ulysses, Thomas	gloves, ascot, mirror, underwear, T-shirt	1
I.E	"You are given categories and must name items within those categories that begin with the letters G, A, M, U and T.  For example, given the category """"girls' names,"""" possible answers would be Gloria, Amelia, Martha, Ursula and Theresa."	Things to pack in a suitcase	grandfather, aunt, mother, uncle, twin	George, Andrew, Martin, Ulysses, Thomas	gloves, ascot, mirror, underwear, T-shirt	Gabon, Algeria, Mali, Uganda, Tanzania	2
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	magazine that answers men's fashion-related QUERIES	auction	Esquire	conifer	gallery	1
